rdsg_name,rdsg_artist,rdsg_spotify_id,rdsg_release_date,rdsg_genres,genre_chosic,is_pop,Audio Feature,Length,Tempo,Loudness,Key,Camelot,Explicit,Popularity,Happiness,Danceability,Energy,Acousticness,Instrumentalness,Liveness,Speechiness
Woah,Lil Baby,02RCbjb9czvQKNGBmEmWob,2020-02-28,[],"hiphop, rap",FALSE,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
For the Night,Pop Smoke,0PvFJmanyNQMseIFrU708S,2020-07-03,"['brooklyn drill', 'drill', 'new york drill']","hiphop, rap, pop",TRUE,"Length: 3:10  Tempo: 126 bpm  Loudness: -7 db 
Key: F#/G♭ Minor Camelot: 11A Explicit: Yes
Popularity: 78/100

Happiness: 35/100

Danceability: 82/100

Energy: 59/100

Acousticness: 11/100

Instrumentalness: 0/100

Liveness: 19/100

Speechiness: 20/100",3:10,126,-7,F#/G♭ Minor,11A,Yes,78,35,82,59,11,0,19,20
Ritmo (Bad Boys for Life),Black Eyed Peas & J Balvin,5NyS3oxTlos3Agl2YtZwrC,2020-11-02,[],"pop, rap",TRUE,"Length: 3:34  Tempo: 105 bpm  Loudness: -7 db 
Key: A#/B♭ Minor Camelot: 3A Explicit: Yes
Popularity: 75/100

Happiness: 67/100

Danceability: 73/100

Energy: 72/100

Acousticness: 3/100

Instrumentalness: 0/100

Liveness: 73/100

Speechiness: 6/100",3:34,105,-7,A#/B♭ Minor,3A,Yes,75,67,73,72,3,0,73,6
Heart on Ice,Rod Wave,591ks2A0o7ratTpiRdI7M6,2019-06-14,[],rap,FALSE,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Come & Go,Juice Wrld & Marshmello,2Y0wPrPQBrGhoLn14xRYCG,2020-07-10,"['melodic rap', 'emo rap']","pop, rap",TRUE,"Length: 3:25  Tempo: 145 bpm  Loudness: -5 db 
Key: C Major Camelot: 8B Explicit: Yes
Popularity: 78/100

Happiness: 54/100

Danceability: 63/100

Energy: 81/100

Acousticness: 2/100

Instrumentalness: 0/100

Liveness: 16/100

Speechiness: 7/100",3:25,145,-5,C Major,8B,Yes,78,54,63,81,2,0,16,7
Sunday Best,Surfaces,1qYKWcEOrh2tM8PlgIm8K1,2019-01-06,[],others,FALSE,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Bandit,Juice Wrld & YoungBoy Never Broke Again,1oWM79mUVdZGCGYjSirHZR,2019-03-08,"['melodic rap', 'emo rap']",rap,FALSE,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Party Girl,StaySolidRocky,3IJYUaN3tx04S4TYyZHKoP,2020-07-15,[],rap,FALSE,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Die from a Broken Heart,Maddie & Tae,3DA4SE262k6rdEtlHteNyq,2020-04-10,['country'],country,FALSE,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
All I Want for Christmas Is You,Mariah Carey,0bYg9bo50gSsH3LtXe2SQn,1994-10-28,['christmas'],pop,TRUE,"Length: 4:01  Tempo: 150 bpm  Loudness: -7 db 
Key: G Major Camelot: 9B Explicit: Yes
Popularity: 70/100

Happiness: 35/100

Danceability: 34/100

Energy: 63/100

Acousticness: 16/100

Instrumentalness: 0/100

Liveness: 7/100

Speechiness: 4/100",4:01,150,-7,G Major,9B,Yes,70,35,34,63,16,0,7,4
Suicidal,YNW Melly,1iSqfoUFnQwV0QW1EfUit8,2019-11-22,['melodic rap'],rap,FALSE,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
The Woo,Pop Smoke,1H7KnK26kc1YyellpbINEn,2020-07-03,"['brooklyn drill', 'drill', 'new york drill']","rap, hiphop",FALSE,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Mood Swings,Pop Smoke,5rZlwNFl01HqLWBQGryKSm,2020-07-03,"['brooklyn drill', 'drill', 'new york drill']","rap, hiphop",FALSE,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Dior,Pop Smoke,79s5XnCN4TJKTVMSmOx8Ep,2019-07-26,"['brooklyn drill', 'drill', 'new york drill']","rap, hiphop",FALSE,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
The Scotts,Travis Scott & Kid Cudi,39Yp9wwQiSRIDOvrVg7mbk,2020-04-24,[],"rap, hiphop, pop",TRUE,"Length: 2:45  Tempo: 130 bpm  Loudness: -8 db 
Key: C Minor Camelot: 5A Explicit: Yes
Popularity: 75/100

Happiness: 28/100

Danceability: 72/100

Energy: 54/100

Acousticness: 23/100

Instrumentalness: 0/100

Liveness: 16/100

Speechiness: 5/100",2:45,130,-8,C Minor,5A,Yes,75,28,72,54,23,0,16,5
Rags2Riches,Rod Wave,40TPiJpvwGIyvPjJMDTKfy,2020-08-07,[],rap,FALSE,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Wishing Well,Juice Wrld,2U5WueTLIK5WJLD7mvDODv,2020-07-10,"['melodic rap', 'emo rap']",rap,FALSE,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
More Than My Hometown,Morgan Wallen,5OELUCYgOHKFAvCERnAvfS,2021-01-08,['country'],country,FALSE,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
What You Know Bout Love,Pop Smoke,1tkg4EHVoqnhR6iFEXb60y,2020-07-03,"['brooklyn drill', 'drill', 'new york drill']","rap, hiphop",FALSE,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Up,Cardi B,1M4OcYkxAtu3ErzSgDEfoi,2021-02-04,[],"rap, pop",TRUE,"Length: 2:36  Tempo: 166 bpm  Loudness: -6 db 
Key: B Major Camelot: 1B Explicit: Yes
Popularity: 69/100

Happiness: 82/100

Danceability: 87/100

Energy: 80/100

Acousticness: 0/100

Instrumentalness: 2/100

Liveness: 5/100

Speechiness: 27/100",2:36,166,-6,B Major,1B,Yes,69,82,87,80,0,2,5,27
Best Friend,Saweetie,20BOju91NaEFK5Py4VJ2pp,2021-04-23,[],"rap, pop",TRUE,"Length: 2:35  Tempo: 94 bpm  Loudness: -4 db 
Key: E Major Camelot: 12B Explicit: Yes
Popularity: 70/100

Happiness: 40/100

Danceability: 84/100

Energy: 77/100

Acousticness: 0/100

Instrumentalness: 0/100

Liveness: 7/100

Speechiness: 14/100",2:35,94,-4,E Major,12B,Yes,70,40,84,77,0,0,7,14
Rapstar,Polo G,18vXApRmJSgQ6wG2ll9AOg,2021-06-11,[],rap,FALSE,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
On Me,Lil Baby,12Fkyg9lpmaz2zmKOfw2Y2,2019-09-06,[],"rap, hiphop",FALSE,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
You Broke Me First,Tate McRae,4l0RmWt52FxpVxMNni6i63,2021-03-26,[],pop,TRUE,"Length: 2:50  Tempo: 124 bpm  Loudness: -9 db 
Key: E Major Camelot: 12B Explicit: Yes
Popularity: 88/100

Happiness: 8/100

Danceability: 66/100

Energy: 38/100

Acousticness: 80/100

Instrumentalness: 0/100

Liveness: 9/100

Speechiness: 5/100",2:50,124,-9,E Major,12B,Yes,88,8,66,38,80,0,9,5
Back in Blood,Pooh Shiesty,7FGdjbZ32vMybPuP0IuE7d,2021-02-05,['memphis rap'],"hiphop, rap",FALSE,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Beat Box 2,SpotemGottem & SpotemGottem,3fHNHBb2eGLahIvoVa19zq,2020-12-18,[],"hiphop, rap",FALSE,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Whoopty,CJ,1t9WgS8FN0534tLBRwbaxO,2021-02-19,['dembow'],rap,FALSE,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Lemonade,Internet Money & Gunna,1p0rEzrK7YtdRZVtiyV7RN,2020-08-28,[],"rap, hiphop",FALSE,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Good Days,SZA,4PMqSO5qyjpvzhlLI5GnID,2022-12-09,['r&b'],"rap, r&b, pop",TRUE,"Length: 4:38  Tempo: 121 bpm  Loudness: -9 db 
Key: C♯/D♭ Minor Camelot: 12A Explicit: Yes
Popularity: 85/100

Happiness: 38/100

Danceability: 46/100

Energy: 65/100

Acousticness: 42/100

Instrumentalness: 0/100

Liveness: 78/100

Speechiness: 6/100",4:38,121,-9,C♯/D♭ Minor,12A,Yes,85,38,46,65,42,0,78,6
Bang!,AJR,2I2AqFb0f9UNnolWc2MafC,2021-03-26,[],others,FALSE,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Thot Shit,Megan Thee Stallion,7FdmHr87G79PDRGy9SPBkZ,2021-10-29,[],"rap, r&b, pop",TRUE,"Length: 3:04  Tempo: 130 bpm  Loudness: -3 db 
Key: A Major Camelot: 11B Explicit: Yes
Popularity: 69/100

Happiness: 89/100

Danceability: 95/100

Energy: 69/100

Acousticness: 1/100

Instrumentalness: 0/100

Liveness: 17/100

Speechiness: 9/100",3:04,130,-3,A Major,11B,Yes,69,89,95,69,1,0,17,9
Late at Night,Roddy Ricch,6kksmL4t09IgxhajuVDDxR,2021-12-17,['melodic rap'],rap,FALSE,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Track Star,Mooski,5hChuUMe5iHfjkXgzj1D4b,2021-02-09,[],rap,FALSE,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Cry Baby,Megan Thee Stallion,4aarlAfLKVCTxUDNgbwhjH,2020-11-20,[],"pop, rap, hiphop, r&b",TRUE,"Length: 2:17  Tempo: 130 bpm  Loudness: -8 db 
Key: B Major Camelot: 1B Explicit: Yes
Popularity: 69/100

Happiness: 62/100

Danceability: 96/100

Energy: 44/100

Acousticness: 0/100

Instrumentalness: 0/100

Liveness: 22/100

Speechiness: 36/100",2:17,130,-8,B Major,1B,Yes,69,62,96,44,0,0,22,36
No More Parties,Coi Leray,3R6wLBD4oU6op8L4YfMho9,2021-01-22,[],rap,FALSE,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Arcade,Duncan Laurence,1J14CdDAvBTE1AJYUOwl6C,2020-11-12,[],pop,TRUE,"Length: 3:03  Tempo: 72 bpm  Loudness: -13 db 
Key: A Minor Camelot: 8A Explicit: Yes
Popularity: 78/100

Happiness: 27/100

Danceability: 45/100

Energy: 33/100

Acousticness: 82/100

Instrumentalness: 0/100

Liveness: 14/100

Speechiness: 4/100",3:03,72,-13,A Minor,8A,Yes,78,27,45,33,82,0,14,4
If I Didn't Love You,Jason Aldean & Carrie Underwood,7IYoh1u7dFM1xIWSEYd5B8,2021-11-12,"['country', 'acoustic country']","country, pop, rock",TRUE,"Length: 3:32  Tempo: 184 bpm  Loudness: -5 db 
Key: C♯/D♭ Major Camelot: 3B Explicit: Yes
Popularity: 71/100

Happiness: 45/100

Danceability: 45/100

Energy: 68/100

Acousticness: 17/100

Instrumentalness: 0/100

Liveness: 10/100

Speechiness: 3/100",3:32,184,-5,C♯/D♭ Major,3B,Yes,71,45,45,68,17,0,10,3
Just the Way,Parmalee & Blanco Brown,4h5OVQQbeqw3lNaFIbmlzG,2021-07-30,['country'],"country, rock, pop, rap",TRUE,"Length: 3:13  Tempo: 90 bpm  Loudness: -3 db 
Key: A Major Camelot: 11B Explicit: Yes
Popularity: 69/100

Happiness: 78/100

Danceability: 54/100

Energy: 80/100

Acousticness: 10/100

Instrumentalness: 0/100

Liveness: 33/100

Speechiness: 4/100",3:13,90,-3,A Major,11B,Yes,69,78,54,80,10,0,33,4
Hell of a View,Eric Church,4mXGooManGPH6xAWRAtRJU,2021-04-23,"['country', 'acoustic country']","country, rock",FALSE,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Single Saturday Night,Cole Swindell,6LnIxE8CqkK7faQV76nEHS,2022-04-08,"['country', 'acoustic country']","country, rock",FALSE,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Things a Man Oughta Know,Lainey Wilson,3S0sk6DSTgesXsUSAEHNr5,2021-02-19,['country'],"country, pop",TRUE,"Length: 3:23  Tempo: 140 bpm  Loudness: -6 db 
Key: D#/E♭ Major Camelot: 5B Explicit: Yes
Popularity: 76/100

Happiness: 40/100

Danceability: 66/100

Energy: 68/100

Acousticness: 51/100

Instrumentalness: 0/100

Liveness: 13/100

Speechiness: 3/100",3:23,140,-6,D#/E♭ Major,5B,Yes,76,40,66,68,51,0,13,3
Throat Baby (Go Baby),BRS Kash,15C4TnrrVdym7UykxQIOTZ,2021-01-21,[],rap,FALSE,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Tombstone,Rod Wave,3zc8VZEpM1onYV4FWGdFvm,2021-03-26,[],rap,FALSE,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Drinkin' Beer. Talkin' God. Amen.,Chase Rice,0rOVgtieEk5SoypbulRiKI,2021-05-28,"['country', 'acoustic country']","rock, country, pop",TRUE,"Length: 2:40  Tempo: 100 bpm  Loudness: -5 db 
Key: D Major Camelot: 10B Explicit: Yes
Popularity: 61/100

Happiness: 72/100

Danceability: 63/100

Energy: 68/100

Acousticness: 19/100

Instrumentalness: 0/100

Liveness: 37/100

Speechiness: 3/100",2:40,100,-5,D Major,10B,Yes,61,72,63,68,19,0,37,3
Big Energy,Latto,4pi1G1x8tl9VfdD9bL3maT,2022-03-25,[],others,FALSE,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
About Damn Time,Lizzo,6HMtHNpW6YPi1hrw9tgF8P,2022-07-15,[],"pop, hiphop",TRUE,"Length: 3:11  Tempo: 109 bpm  Loudness: -6 db 
Key: A#/B♭ Minor Camelot: 3A Explicit: Yes
Popularity: 78/100

Happiness: 72/100

Danceability: 84/100

Energy: 74/100

Acousticness: 10/100

Instrumentalness: 0/100

Liveness: 34/100

Speechiness: 7/100",3:11,109,-6,A#/B♭ Minor,3A,Yes,78,72,84,74,10,0,34,7
Running Up That Hill (A Deal with God),Kate Bush,1PtQJZVZIdWIYdARpZRDFO,1985-09-16,"['art pop', 'baroque pop', 'art rock']","rock, pop",TRUE,"Length: 4:58  Tempo: 108 bpm  Loudness: -13 db 
Key: A#/B♭ Minor Camelot: 3A Explicit: Yes
Popularity: 84/100

Happiness: 19/100

Danceability: 63/100

Energy: 55/100

Acousticness: 72/100

Instrumentalness: 0/100

Liveness: 6/100

Speechiness: 5/100",4:58,108,-13,A#/B♭ Minor,3A,Yes,84,19,63,55,72,0,6,5
I Like You (A Happier Song),Post Malone,0O6u0VJ46W86TxN9wgyqDj,2022-06-03,[],"pop, rap",TRUE,"Length: 3:12  Tempo: 101 bpm  Loudness: -6 db 
Key: F Major Camelot: 7B Explicit: Yes
Popularity: 80/100

Happiness: 47/100

Danceability: 73/100

Energy: 67/100

Acousticness: 12/100

Instrumentalness: 0/100

Liveness: 12/100

Speechiness: 8/100",3:12,101,-6,F Major,7B,Yes,80,47,73,67,12,0,12,8
You Proof,Morgan Wallen,5W4kiM2cUYBJXKRudNyxjW,2023-03-03,['country'],country,FALSE,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Bad Habit,Steve Lacy,4k6Uh1HXdhtusDW5y8Gbvy,2022-07-15,[],others,FALSE,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Sunroof,Nicky Youre,5YqEzk3C5c3UZ1D5fJUlXA,2023-06-09,[],pop,TRUE,"Length: 2:43  Tempo: 131 bpm  Loudness: -5 db 
Key: A#/B♭ Major Camelot: 6B Explicit: Yes
Popularity: 69/100

Happiness: 84/100

Danceability: 77/100

Energy: 71/100

Acousticness: 35/100

Instrumentalness: 0/100

Liveness: 15/100

Speechiness: 4/100",2:43,131,-5,A#/B♭ Major,6B,Yes,69,84,77,71,35,0,15,4
One Right Now,Post Malone & the Weeknd,1nltpRhEiXikwDlVn4UADk,2022-06-03,[],"pop, rap, r&b",TRUE,"Length: 3:13  Tempo: 97 bpm  Loudness: -5 db 
Key: C♯/D♭ Major Camelot: 3B Explicit: Yes
Popularity: 71/100

Happiness: 69/100

Danceability: 69/100

Energy: 78/100

Acousticness: 4/100

Instrumentalness: 0/100

Liveness: 8/100

Speechiness: 5/100",3:13,97,-5,C♯/D♭ Major,3B,Yes,71,69,69,78,4,0,8,5
I Hate U,SZA,2aJnyNu4PQxQ2lyj5boiMG,2022-12-09,['r&b'],"rap, r&b, pop",TRUE,"Length: 2:53  Tempo: 107 bpm  Loudness: -9 db 
Key: G Minor Camelot: 6A Explicit: Yes
Popularity: 72/100

Happiness: 38/100

Danceability: 53/100

Energy: 42/100

Acousticness: 51/100

Instrumentalness: 0/100

Liveness: 11/100

Speechiness: 15/100",2:53,107,-9,G Minor,6A,Yes,72,38,53,42,51,0,11,15
Glimpse of Us,Joji,2mlNgAeIBnL78ZriXgrRHz,2022-11-04,[],pop,TRUE,"Length: 3:53  Tempo: 170 bpm  Loudness: -10 db 
Key: G#/A♭ Major Camelot: 4B Explicit: Yes
Popularity: 68/100

Happiness: 27/100

Danceability: 44/100

Energy: 29/100

Acousticness: 90/100

Instrumentalness: 0/100

Liveness: 16/100

Speechiness: 4/100",3:53,170,-10,G#/A♭ Major,4B,Yes,68,27,44,29,90,0,16,4
Surface Pressure,Jessica Darrow,760jhRscwGbIIe1m1IIQpU,2021-11-19,[],others,FALSE,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Fall in Love,Bailey Zimmerman,0rCFRyEy4WXjRXNpO80Dzs,2023-01-11,['country'],"country, pop",TRUE,"Length: 3:52  Tempo: 136 bpm  Loudness: -6 db 
Key: A Major Camelot: 11B Explicit: Yes
Popularity: 82/100

Happiness: 40/100

Danceability: 52/100

Energy: 64/100

Acousticness: 45/100

Instrumentalness: 0/100

Liveness: 22/100

Speechiness: 3/100",3:52,136,-6,A Major,11B,Yes,82,40,52,64,45,0,22,3
AA,Walker Hayes,6aIrXGmaFqPafbYgxbMUsj,2022-01-21,['country'],"country, rock",FALSE,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Provenza,Karol G,3HqcNJdZ2seoGxhn0wVNDK,2023-02-24,"['reggaeton', 'latin', 'urbano latino']",others,FALSE,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Get Into It (Yuh),Doja Cat,0W6I02J9xcqK8MtSeosEXb,2021-06-25,[],pop,TRUE,"Length: 2:18  Tempo: 92 bpm  Loudness: -6 db 
Key: G#/A♭ Minor Camelot: 1A Explicit: Yes
Popularity: 76/100

Happiness: 79/100

Danceability: 91/100

Energy: 66/100

Acousticness: 32/100

Instrumentalness: 0/100

Liveness: 9/100

Speechiness: 16/100",2:18,92,-6,G#/A♭ Minor,1A,Yes,76,79,91,66,32,0,9,16
Rock and a Hard Place,Bailey Zimmerman,1TE8AAk9koG0UJco6ZAUfx,2023-01-11,['country'],"country, pop",TRUE,"Length: 3:27  Tempo: 122 bpm  Loudness: -7 db 
Key: C♯/D♭ Major Camelot: 3B Explicit: Yes
Popularity: 85/100

Happiness: 39/100

Danceability: 58/100

Energy: 57/100

Acousticness: 58/100

Instrumentalness: 0/100

Liveness: 11/100

Speechiness: 3/100",3:27,122,-7,C♯/D♭ Major,3B,Yes,85,39,58,57,58,0,11,3
Doin' This,Luke Combs,6TpyujRefwsflWFXbmjVpj,2022-06-24,['country'],country,FALSE,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Fingers Crossed,Lauren Spencer-Smith,4wH7ZoqgETaACS9BlUkvuY,2023-07-14,[],pop,TRUE,"Length: 2:55  Tempo: 110 bpm  Loudness: -7 db 
Key: F Major Camelot: 7B Explicit: Yes
Popularity: 75/100

Happiness: 45/100

Danceability: 61/100

Energy: 47/100

Acousticness: 59/100

Instrumentalness: 0/100

Liveness: 31/100

Speechiness: 6/100",2:55,110,-7,F Major,7B,Yes,75,45,61,47,59,0,31,6
Después de la Playa,Bad Bunny,1dm6z1fWB0cErMszU25dy2,2022-05-06,"['reggaeton', 'trap latino', 'urbano latino', 'latin']",others,FALSE,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Broadway Girls,Lil Durk,7qTaDOcld0VmBWXnkbUj45,2022-03-10,['drill'],"country, rap, hiphop",FALSE,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Jingle Bell Rock,Bobby Helms,7vQbuQcyTflfCIOu3Uzzya,1957-12-02,['christmas'],others,FALSE,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Trouble with a Heartbreak,Jason Aldean,0P9c1rdCeGAkCeS425KbI5,2022-04-22,"['country', 'acoustic country']",country,FALSE,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
A Holly Jolly Christmas,Burl Ives,77khP2fIVhSW23NwxrRluh,1965-10-01,['christmas'],others,FALSE,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Never Say Never,Cole Swindell & Lainey Wilson,3iYEsBl8NBq1o1j5uY2Noe,2022-04-08,"['country', 'acoustic country']","country, pop, rock",TRUE,"Length: 2:56  Tempo: 140 bpm  Loudness: -4 db 
Key: C Minor Camelot: 5A Explicit: Yes
Popularity: 67/100

Happiness: 45/100

Danceability: 47/100

Energy: 94/100

Acousticness: 1/100

Instrumentalness: 0/100

Liveness: 11/100

Speechiness: 6/100",2:56,140,-4,C Minor,5A,Yes,67,45,47,94,1,0,11,6
Damn Strait,Scotty McCreery,0gNrujgnSfw4LuSvd0Jbs6,2021-09-17,"['country', 'acoustic country']","country, rock",FALSE,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Flower Shops,Ernest,1DbZAffh8GGwW41Q3AU8iC,2022-03-11,['country'],"country, pop",TRUE,"Length: 3:34  Tempo: 128 bpm  Loudness: -6 db 
Key: G Major Camelot: 9B Explicit: Yes
Popularity: 79/100

Happiness: 23/100

Danceability: 54/100

Energy: 46/100

Acousticness: 12/100

Instrumentalness: 0/100

Liveness: 8/100

Speechiness: 3/100",3:34,128,-6,G Major,9B,Yes,79,23,54,46,12,0,8,3
Last Night,Morgan Wallen,7K3BhSpAxZBznislvUMVtn,2023-03-03,['country'],country,FALSE,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
