name,artist,spt_id,release_year,length_sec,tempo,loudness,scale,key_num,camelot,af_hap,af_dan,af_enr,af_aco,af_ins,af_liv,af_spe,lyric,is_bb,cv_fold
it's a beautiful day - swing mix,michael bublé,4rJf8qvgpxz9U3lmu5TXcR,2013,257,121,-4,Major,2,10B,61,46,74,61,0,15,6,i dont know why you think that you could hold me when you couldnt get by by yourself and i dont know who would ever want to tear the seam of someones dream baby its fine you said that we should just be friends while i came up with that line and im sure that its for the best if you ever change your mind dont hold your breath cause you may not believe that baby im relieved when you said goodbye my whole world shine hey hey hey its a beautiful day and i cant stop myself from smiling if im drinking then im buying and i know theres no denying its a beautiful day the sun is up the musics playing and even if it started raining you wont hear this boy complaining cause im glad that youre the one that got away its a beautiful day its my turn to fly so girls get in line cause im easy no playing this guy like a fool now im alright mightve had me caged before but not tonight cause you may not believe that baby im relieved this fire inside it burns too bright i dont want to say so long i just want to say goodbye its a beautiful day and i cant stop myself from smiling if im drinking then im buying and i know theres no denying its a beautiful day the sun is up and musics playing and even if it started raining you wont hear this boy complaining cause im glad that youre the one that got away cause if you ever think ill take up my time with thinking of our breakup then youve got another thing coming your way cause its a beautiful day beautiful day oh baby any day that youre gone away its a beautiful day,0,0
i get a kick out of you,elaine paige,5jE4JXLp5nVHUAXxV7ulo3,2021,129,102,-22,Major,0,8B,50,51,13,83,0,14,3,i get a kick out of you my story is much too sad to be told but practiclly evrything leaves me totally cold the only exception i know is the case when im out on a quiet spree fighting vainly the old ennui and i suddenly turn and see your fabulous face i get no kick from champagne mere alcohol doesnt thrill me at all so tell me why should it be true that i get a kick out of you some get a kick from cocaine im sure that if i took even one sniff that would bore me terrificlly too yet i get a kick out of you i get a kick evry time i see you standing there before me i get a kick tho its clear to me you obviously dont adore me i get no kick in a plane flying too high with some guy in the sky is my idea of nothing to do yet i get a kick out of you i get a kick evry time i see you standing there before me i get a kick tho its clear to me you obviously dont adore me i get no kick in a plane flying too high with some guy in the sky is my idea of nothing to do yet i get a i get a i get a kick out of you,0,0
look who's cryin' now,jessie murph,6Q0j526ymBAvizdCHmoM9x,2021,141,103,-5,Major,7,9B,26,69,58,43,0,16,5,white lies you love to spin em eat that shit for dinner every night just like you love those white lines baby youre bitter paint me like the sinner every time if you cant take the heat get the fuck out the kitchen i wont be the one thats stuck reminiscing say its on me but i aint finna listen you turned into a ghost out with your friends so im at a party 2 am sins mix em up with bacardí never said youre sorry fucked her in thе rari oh look whos cryin now tables turned around you didnt give a fuck whеn it was my heart on the ground but now youre on your knees while im wrapped in his sheets yeah karmas a bitch but she aint got nothing on me look whos cryin now no fun oh how ironic you cant stand when im holding the gun but baby you drew first blood the way you cursed us and then you had the nerve to call it love if you cant take the heat get the fuck out the kitchen i wont be the one thats stuck reminiscing say its on me but i aint finna listen you turned into a ghost out with your friends so im at a party 2 am sins mix em up with bacardí never said youre sorry fucked her in the rari oh look whos cryin now tables turned around you didnt give a fuck when it was my heart on the ground but now youre on your knees while im wrapped in his sheets yeah karmas a bitch but she aint got nothing on me look whos cryin now now now look whos cryin now now yeah i said look whos cryin now now now look whos cryin now now now look whos cryin now,0,4
find love,hikaru utada,7BaExHeRww0LxV4yuYIFSL,2022,277,127,-8,Minor,11,10A,48,85,50,55,0,8,5,some days my heart feels miles away my body isnt listening mmm but i took whatever came my way im paying for it now baby mmm well i dont wanna lead them on but i dont wanna see them go cause i dont wanna be alone everyday of my life everyday of my life oh i gotta watch out who i share my affection with until i find love cause im way too affectionate not gonna park my desire til i find love til i find love til i find love til i find love find love til i find love til i find love for now committed to my therapy i train with vicki three to five times a week getting stronger isnt easy baby do i dare bе vulnerable what if i lose all control oh but i dont wanna bе alone every day of my life every day of my life so i gotta watch out who i share my affection with until i find love cause im way too affectionate not gonna park my desire til i find love til i find love til i find love slow down you wont get there by hurrying gotta find out if my hard work was worth it i know its somewhere in me im just tryna find love just tryna find love just tryna find do i dare be vulnerable what if i lose all control but i dont wanna be alone every day of my life every day of my life everyday of my life find love til i find love til i find love find love til i find love til i find love everyday of my life find love til i find love til i find love find love til i find love til i find love everyday of my life do i dare be vulnerable what if i lose all control but i dont wanna be alone every day of my life oh do i dare be vulnerable what if i lose all control but i dont wanna be alone every day of my life gotta find out if my hard work was worth it i know its somewhere in me im just tryna find love,0,4
faded,conor maynard,3PfOr0zcqy2aOqHaMxnzbK,2016,157,180,-7,Major,2,10B,28,34,45,34,0,12,3,you were the shadow to my light did you feel us another star you fade away afraid our aim is out of sight wanna see us alight where are you now where are you now where are you now was it all in my fantasy where are you now were you only imaginary where are you now atlantis under the sea under the sea where are you now another dream the monsters running wild inside of me im faded im faded im faded im faded so lost where are you now atlantis under the sea under the sea where are you now another dream the monsters running wild inside of me im faded im faded yeah faded faded im so faded faded im so faded faded faded faded,0,1
turn the music up,nf,5oLWKwAejXRkOv8bKaTBO7,2015,199,120,-5,Major,2,10B,37,58,75,0,0,16,4,red bull in my hands yo feels like i got wings lotta people in my face but i cant hear a thing its like my heads up in the clouds heads up in the clouds and i aint coming down no just turn the music on just let me get lost hey i swear that ima lose it if somebody turns it off hey what are you out your mind you must be out your mind just turn the music up turn the music up turn the music up turn the music up turn the music up snapback on my head im so motivated nikes on my feet understand the situation yeah this is not a game this is not a game you aint gon bring me down no yeah i mean what i say and i say what i mean you best wipe off that hater look before you make me scream what are you out your mind you must be out your mind just turn the music turn the music up turn the music up turn the music up turn the music up turn the music up turn the music up i got the adrenaline rhyme like im a veteran fine ive been ahead of the game no way im settling drained but ima get it in lame this is the medicine hey you get the medic kit beats cause i dont let em live fast better keep pedaling blast you with the pen again laugh but im ahead of them act like i dont get it then that is when i enter in rap until i never can cash it is irrelevant passion is the element laps around these other men pass em who you running with facts is what im coming with back but i aint never left snap and i will never get wack you better get a grip last isnt a medal its glass and ima shatter it who do you think youre battling who do you think youre laughing at i am not a comedian man it dont even matter if you dont know what im saying you better do what the chorus says you dont know what the chorus is turn up on the choruses turn the music up you must be out your mind turn the music up you must be out your mind turn the music up you must be out your mind turn the music up turn the music up turn the music up you must be out your mind turn the music up you must be out your mind turn the music up you must be out your mind turn the music up turn the music up turn the music turn the music up you must be out your mind you must be out,0,1
stay the night,state champs,5IiViFIVssuYKSViifBM91,2014,212,132,-6,Major,6,2B,41,31,72,0,0,16,5,i know that we are upsidedown so hold your tongue and hear me out i know that we were made to break so what i dont mind you cue the lights ill drop the blinds dont dull the sparkle in your eyes i know that we were made to break so what i dont mind are you gonna stay the night are you gonna stay the night woah oh oh oh oh oh oh whyre you gonna stay the night are you gonna stay the night doesnt mean were bound for life soohohohohohohoh are you gonna stay the night are you gonna stay the night doesnt mean were bound for life soohohohohohohoh are you gonna stay the night i am a fire youre gasoline come pour yourself all over me well let this place go down in flames only one more time you cue the lights ill drop the blinds dont dull the sparkle in your eyes i know that we were made to break so what i dont mind are you gonna stay the night are you gonna stay the night woah oh oh oh oh oh oh whyre you gonna stay the night are you gonna stay the night doesnt mean were bound for life soohohohohohohoh are you gonna stay the night are you gonna stay the night are you gonna stay the night doesnt mean were bound for life soohohohohohohoh are you gonna stay the night are you gonna stay the night are you gonna stay the night oohohohohohohohoh are you gonna stay the night,0,0
everybody needs a best friend,norah jones,5SfbIX2V08P5XIRheWAIPf,2012,146,140,-8,Minor,0,5A,74,62,41,58,0,21,4,my words are lazy my thoughts are hazy but this is one thing im sure of everybody needs a best friend im happy im yours youve got a double who brings you trouble and though youre better without me everybody needs a best friend im happy im yours a fool could see decidedly that youre a 10 and im a 3 a royal breed is what you need so how do you come to be stuck with a bummer like me youve got a head full of someone dreadful but having someone adore you everybody needs a best friend im happy im yours a fool could see decidedly that youre a 10 and im a 3 a royal breed is what you need so how do you come to be stuck with a bummer like me oh youve got a head full of someone dreadful and yet alas that someone adores you everybody needs a best friend im happy im yours im just a clown and ill bring you down but you just dont care cause your best friend is me,0,1
battle hymn,zebrahead,0VZUvKF6TcrZozFftxVPeq,2015,163,160,-3,Major,11,1B,96,54,97,0,0,20,4,whatcha gonna do when they come kicking down your front door will you lay down surrender like you did before suffocating on the broken promises you cant ignore the pressures mounting remember what youre fighting for lay down your arms take your pill sit still and obey whats in the harm kill your will find someone to betray lose control of your mind and soul in the modern day decay the riots starting can the kids come out and play whoa set em up knock em down light it up cause we run this town whoa set em up knock em down light it up we run this town hey hey hey hey hey hey hey hey batten down the hatches lock the windows cause theyre breaking in out on the street let me hear your battle hymn keep your finger on the trigger notify your next of kin chance for survival optimistically is one in ten give up the fight stand down and walk away like a dying light once bright now starting to grey did you lose control of your mind and soul in the modern day decay the riots starting can the kids come out and play whoa set em up knock em down light it up cause we run this town whoa set em up knock em down light it up we run this town so laddie doddie the system is shoddy just take your punches in bunches and go exploit somebody so come on lose control of your mind and soul in a modern day decay the riots starting hey kids come out and play whoa set em up knock em down light it up cause we run this town whoa set em up knock em down light it up we run this town whoa set em up knock em down light it up cause we run this town whoa set em up knock em down light it up we run this town,0,3
i want you back,mystic braves,5JSaChK9tKq8equbi7Ap5p,2014,166,165,-3,Major,7,9B,36,9,94,8,0,9,14,see my girl seem to run away i thought shed only be here to stay but when she told me on the telephone that she wont be coming home well i want you back i want you back in your eyes i have told you lies and your heart ive torn apart then i tell you i wont cause you pain now im wishing i had you again well i want you back i want you back you can call me a mean old man i can say that i understand thinking of you late last night wishing that wed never fight well i want you back i want you back tell me that youll come back someday for i cant ever live this way only living with what i lost now im only paying the cost well i want you back i want you back,0,4
blank space,taylor swift,1p80LdxRV74UKvL8gnD7ky,2014,231,96,-5,Major,5,7B,58,75,68,9,0,13,6,nice to meet you where you been i could show you incredible things magic madness heaven sin saw you there and i thought oh my god look at that face you look like my next mistake loves a game wanna play ayy new money suit and tie i can read you like a magazine aint it funny rumors fly and i know you heard about me so hey lets be friends im dying to see how this one ends grab your passport and my hand i can make the bad guys good for a weekend so its gonna be forever or its gonna go down in flames you can tell me when its over mm if the high was worth the pain got a long list of exlovers theyll tell you im insane cause you know i love the players and you love the game cause were young and were reckless well take this way too far itll leave you breathless mm or with a nasty scar got a long list of exlovers theyll tell you im insane but ive got a blank space baby and ill write your name cherry lips crystal skies i could show you incredible things stolen kisses pretty lies youre the king baby im your queen find out what you want be that girl for a month wait the worst is yet to come oh no screaming crying perfect storms i can make all the tables turn rose garden filled with thorns keep you second guessing like oh my god who is she i get drunk on jealousy but youll come back each time you leave cause darling im a nightmare dressed like a daydream so its gonna be forever or its gonna go down in flames you can tell me when its over mm if the high was worth the pain got a long list of exlovers theyll tell you im insane cause you know i love the players and you love the game cause were young and were reckless oh well take this way too far itll leave you breathless ohoh mm or with a nasty scar got a long list of exlovers theyll tell you im insane insane but ive got a blank space baby and ill write your name boys only want love if its torture dont say i didnt say i didnt warn ya boys only want love if its torture dont say i didnt say i didnt warn ya so its gonna be forever or its gonna go down in flames you can tell me when its over over mm if the high was worth the pain got a long list of exlovers theyll tell you im insane im insane cause you know i love the players and you love the game and you love the game cause were young and were reckless yeah well take this way too far ooh itll leave you breathless mm or with a nasty scar with a nasty scar got a long list of exlovers theyll tell you im insane but ive got a blank space baby and ill write your name,1,0
thin,iamamiwhoami,0q6OanJW0lp6xevkTnXO9r,2014,333,130,-8,Minor,9,8A,8,28,55,2,2,8,4,our finds beneath the cloak of night has our minds in control we guard them with our weary eyes and we watch them grow when the time is right and were ready to begin at the first tide your patiences wearing thin we scatter in the night like scarlet red on winter white melting into thin the kind of which i came to be after being swallowed whole by offering a piece of me to any given fool we scatter in the night like innocent sheets of white spreading by the wind she goes high leaves no sound she goes high leaves no sound they turn to us they ask us why who say they are to trust what we define they turn to us you know they turn you know they turn you know they turn they ask us why who say they are to trust what we define ooh yeah you know they turn you know they turn you know they turn ooh yeah ooh yeah you know they turn you know they turn you know they turn she goes high you know they turn you know they turn you know they turn leaves no sound,0,0
money,cardi b,2GGMabyHXnJmjY6CXhhB2e,2018,183,130,-7,Minor,8,1A,22,95,59,1,0,11,29,look my bitches all bad my niggas all real i ride on his dick in some big tall heels big fat checks big large bills front ill flip like ten cartwheels cold ass bitch i give broads chills ten different looks and my looks all kill i kiss him in the mouth i feel all grills he eat in the car thats meals on wheels woo i was born to flex yes diamonds on my neck i like boardin jets i like mornin sex woo but nothing in this world that i like more than checks money all i really wanna see is the money i dont really need the d i need the money all a bad bitch need is the money flow i got bands in the coupe coupe bustin out the roof i got bands in the coupe coupe touch me ill shoot bow shake a lil ass money get a little bag and take it to the store store money get a little cash money shake it real fast and get a little more money i got bands in the coupe coupe bustin out the roof i got bands in the coupe brrr bustin out the roof cardi i gotta fly i need a jet shit i need room for my legs i got a baby i need some money yeah i need cheese for my egg all yall bitches in trouble bring brass knuckles to the scuffle i heard that cardi went pop yeah i did go pop pop thats me bustin they bubble im dasani with the drip baby mommy with the clip walk out follies with a bitch bring a thottie to the whip if she fine or she thick goddamn walkin past the mirror ooh damn im fine fine let a bitch try me boom boom hammer time uh i was born to flex yes diamonds on my neck i like boardin jets i like mornin sex woo but nothing in this world that i like more than checks money all i really wanna see is the money i dont really need the d i need the money all a bad bitch need is the money flow i got bands in the coupe coupe bustin out the roof i got bands in the coupe coupe touch me ill shoot bow shake a lil ass money get a little bag and take it to the store store money get a little cash money shake it real fast and get a little more money i got bands in the coupe coupe bustin out the roof i got bands in the coupe brrr touch me ill shoot bow bitch i will pop on your pops your pops bitch i will pop on whoever brrr you know who pop the most shit who the people whose shit not together okay youda bet cardi a freak freak all my pajamas is leather uh bitch i will black on your ass yeah wakanda forever sweet like a honey bun spit like a tommy gun rollie a one of one come get your mommy some cardi at the tiptop bitch kiss the ring and kick rocks sis mwah jump it down back it up ooh ayy make that nigga put down 2k i like my niggas dark like dussé he gonna eat this ass like soufflé i was born to flex diamonds on my neck i like boardin jets i like mornin sex but nothing in this world that i like more than kulture kulture kulture kulture all i really wanna see is the money i dont really need the d i need the money all a bad bitch need is the kkc woo money money money money money money money money,1,3
downtown sf,acid ghost,4FR0iGANpi4nFOiOC0iSxe,2016,188,157,-6,Major,2,10B,25,47,74,87,85,20,3,can we go downtown on this sunny day and if youre upset and not okay and your talking all this nonsense make it all clueless are you ready to love dont be shy with me were supposed to be together so much love i feel makes it so unreal when were together ive been thinking bout her night time through the day,0,1
one night stand,lainey wilson,2OWfJ6c86YWaw1yqhkLtry,2016,219,74,-5,Minor,0,5A,21,50,57,0,0,12,3,told myself id never fall for a little charm and alcohol thought id be stronger than that drink but the words that he was whisperin i couldnt stop from listenin next thing i knew i was gone and wakin up with a driedup whiskey bottle an empty pack of marlboro ashes falling in the tray from workin that night away like the red he took right off my lips the hands that he put on my hips i locked all my regret in a drawer beside his bed in that one nightstand by the time i made it home looked in the mirror and it was gone all of those pearls my mama passed down to me so i shook my purse out on the floor retraced my steps from the night before and it hit me right where it had to be with a driedup whiskey bottle an empty pack of marlboro ashes falling in the tray from workin that night away like the red he took right off my lips the hands that he put on my hips i locked all my regret in a drawer beside his bed in that one nightstand in that one nightstand wish i could take it all back from that one night stand from that one night stand with that driedup whiskey bottle an empty pack of marlboro ashes falling in the tray from workin that night away like the red he took right off my lips the hands that he put on my hips i locked all my regret in a drawer beside his bed in that one nightstand told myself id never fall for a little charm and alcohol,0,0
up all night,owl city,44hRtTWULYEMCetZqyUniO,2015,231,91,-5,Minor,2,7A,48,55,88,1,0,9,4,i fell in love with a ghost out under the moonlight you took my hand and held me close for once i was alright i cried and the tears fell from my eyes like a waterfall and i swear i could feel you in my arms but there was no one there at all you were my clarity i swear all alone in a daydream yeah there was magic in the air and you were right here beside me held down like an angel with no wings i wanna fly again i just cant get you off my mind and now im gonna be up all night woah its tearing me up inside i just cant get you off my mind i tossed and turned in the end with no one to talk to i searched again and again but i never found you i cried and the tears fell from my eyes like a waterfall and i swear i could feel you in my arms but there was no one there at all you were my clarity i swear all alone in a daydream yeah there was magic in the air and you were right here beside me held down like an angel with no wings i wanna fly again i just cant get you off my mind and now im gonna be up all night woah im gonna be up all night woah im gonna be up all night i dont wanna say goodbye its tearing me up inside i just cant get you off my mind and now im gonna be up all night woah im gonna be up all night woah im gonna be up all night i dont wanna say goodbye its tearing me up inside i just cant get you off my mind you were my clarity i swear all alone in a daydream yeah there was magic in the air and you were right here beside me held down like an angel with no wings i wanna fly again i just cant get you off my mind and now im gonna be up all night a whisper on the air made my heart rate fall when i heard you call and i swear i could hear your voice in my ear but there was no one there at all,0,1
coroner,dean blunt,3QCXecAIEM2OKUdqgLTYi4,2012,93,130,-4,Major,7,9B,72,63,85,44,0,34,5,august 97 august august 97 august yeah call me customer oh you got me training that arse up top pull a cap in your ass august 97 a nigga got things to do buck around get got little talk from me to you august its a real talk ting round here my girl know tantrum pays that booty gonna get you hurt run back before its too late i said i got things to do and one of them waxing you take off your frown august 97 that sweet apple bottom gonna get candied and go on a merrygoround august vicky park funfair august 97 august 97 august shee august 97august august 97 august 97 97 97 august august 97 august awh,0,0
mississippi isabel,king charles,4cVtEzm7cyh3UHpBvnnD7t,2012,183,110,-5,Major,2,10B,93,64,77,6,0,36,3,i found out about her her names mississippi isabel she grows wild strawberries shes made of ivory and pearl to look at the universe shed abandoned the world id go with her back to the darkness abandon my life for this girl i rode around on my bicycle all the way in the rain she kissed me once i took her out for lunch and she never kissed me again i rode around on my bicycle all the way in the rain she kissed me once i took her out for lunch and she never kissed me again her beauty knows no tick of time shes the song of the nightingale the torture and the remedy the tragedy in the passionate tale and i begged for forgiveness for the way that i am and i hope she doesnt blame men for the inelegance of men i rode around on my bicycle all the way in the rain she kissed me once i took her out for lunch and she never kissed me again i rode around on my bicycle all the way in the rain she kissed me once i took her out for lunch and she never kissed me again i rode around on my bicycle all the way in the rain she kissed me once i took her out for lunch and she never kissed me again i rode around on my bicycle all the way in the rain she kissed me once i took her out for lunch and she never kissed me again i rode around on my bicycle all the way in the rain she kissed me once i took her out for lunch and she never kissed me again i rode around on my bicycle all the way in the rain she kissed me once i took her out for lunch and she never kissed me again,0,4
beautiful mistakes,maroon 5,5zFglKYiknIxks8geR8rcL,2021,227,99,-5,Major,10,6B,72,71,68,4,0,15,3,its beautiful its bittersweet youre like a broken home to me i take a shot of memories and black out like an empty street i fill my days with the way you walk and fill my nights with broken dreams i make up lies inside my head like one day youll come back to me now im not holdin on not holdin on im just depressed that youre gone not holdin on not holdin on beautiful mistakes i make inside my head shes naked in my bed and now we lie awake makin beautiful mistakes i wouldnt take еm back im in love with the past and now we liе awake makin beautiful mistakes nahnahnah in my head nahnahnah in my bed nahnahnah ay makin beautiful mistakes its pitiful i cant believe how every day gets worse for me i take a break i cut you off to keep myself from lookin soft i fill my nights with the way you was and still wake up with broken dreams i make these lies inside my head feel like theyre my reality now im not holdin on not holdin on im just depressed that youre gone not holdin on not holdin on beautiful mistakes i make inside my head shes naked in my bed and now we lie awake makin beautiful mistakes i wouldnt take em back im in love with the past and now we lie awake makin beautiful mistakes nahnahnah in my head nahnahnah in my bed nahnahnah yeah yeah makin beautiful mistakes you did me wrong cause i let you let you usually i like my situations beneficial doin somethin different got me lookin stupid damn the only way im comin back to you is if you dreamin lucid hmm prove it if you made a promise then keep it keep it why you wanna lie and then get mad i dont believe it boy bye but really i was doin just fine without ya lookin fine sippin wine dancin on club couches ah baby why you wanna lose me like you dont need me dont need me like i dont block you and you still try to reach me still try to reach me how you figure out how to call me from the tv huh you runnin outta chances and this time i mean it ah yeah bet you miss my love all in your bed bed now youre stressin out pullin your hair hair smellin your pillows and wishin i was there i was there slidin down the shower wall lookin sad sad i know its hard to let go im the best im the best best you ever had and best you gon get gon get and if we break up i dont wanna be friends be friends youre toxic beautiful mistakes i make inside my head shes naked in my bed and now we lie awake makin beautiful mistakes i wouldnt take em back im in love with the past and now we lie awake making beautiful mistakes nahnahnah in my head nahnahnah in my bed nahnahnah yeah yeah oh makin beautiful mistakes nahnahnah in my head nahnahnah in my bed ay nahnahnah ay beautiful makin beautiful mistakes nahnahnah nahnahnah ooh nahnahnah beautiful mistakes,1,2
fire,louis the child,1bVR1UVkeaJRK5LNpIe7Gp,2016,205,90,-6,Minor,6,11A,29,39,71,26,0,23,38,lookin up starlight take me there yeah i wanna fly want gold bankroll wanna feel the rush to the front row paycheck late again barely hangin on to the apartment doin it my way aint nothin free bout the free way but im miles off the ground im leavin this home and city to burn and ill watch it go down ooh cause that sun gon take me with it hey and im buildin a fire fire oh im buildin it higher higher oh im gonna run this empire higher oh and if i go down in flames the smoke gonna spell my name lipstick red wine long nights its a lifestyle so good to the last drop you could see me light up from the rooftops but im miles off the ground im leavin this home and city to burn and ill watch it go down ooh cause that sun gon take me with it hey and im buildin a fire fire oh im buildin it higher higher oh im gonna run this empire higher oh and if i go down in flames the smoke gonna spell my name and im buildin a fire fire oh im buildin it higher higher oh im gonna run this empire higher oh and if i go down in flames the smoke gonna spell my name,0,0
dream,husbands,1gg7VrHQD09dTZd8MzCsRA,2013,217,113,-9,Major,8,4B,76,69,44,43,19,7,3,the writers insane the writers insane the writers insane the hit single never came,0,1
hell,sophia kao,2o6wStOj1CW8oD2GLnc3bU,2016,303,182,-13,Major,2,10B,12,42,8,86,0,8,5,i really love your dark dark eyes especially with that charming smile of yours i really love that messy hair you get when you just roll out of my bed but theres one thing i havent told you yet ill love you even more when things are bad you said i dont deserve to have someone like you im only human and youre the moon ill never know how to treat you right sooner or later youll leave my side if i could go back in time i would still say yes i do cause i would go through hell just to be with you i really hate it when you lie especially when youre seeing her again i really hate it when you say you love me while youre laying next to her but theres one thing that will never change is the love from me that youve been taking for granted you said baby ill change ill come back to you this is just a phase all these girls and booze please believe me when i say my heart belongs to you if i could go back in time i would still say yes i do cause i would go through hell just to be with you i know things arent looking good but im not giving up on you on us on our love maybe you dont see it working out for us right now but ill show you how beautiful love can be if i could go back in time i would still say yes i do cause i would go through hell just to be with you oohhh cause i would go through hell just to be with you,0,4
leave before you love me,marshmello & jonas brothers,4qu63nuBpdn0qHUHuObEj1,2021,154,120,-5,Major,7,9B,64,72,74,0,0,12,4,i see you calling i didnt wanna leave you like that its five in the morning yeah yeah a hundred on the dash cause my wheels are rolling aint taking my foot off the gas and it only took the one night to see the end of the line staring deep in your eyes eyes dancing on the edge bout to take it too far its messing with my head how i mess with your heart if you wake up in your bed alone in the dark im sorry gotta leave before you love me ayy ayy leave before you love me ayy ayy leave before you love me ayy ayy leave before you love me ayy ayy leave before you love me im so good at knowing of when to leave the party behind dont care if they notice yeah yeah no ill just catch a ride id rather be lonely yeah than wrapped around your body too tight yeah im the type to get naked wont give my heart up for breaking cause im too gone to be staying staying dancing on dancing on the edge bout to take it too far its messing with my head how i mess with your heart if you wake up in your bed alone in the dark im sorry gotta leave before you love me ayy ayy leave before you love me ayy ayy leave before you love me ayy ayy leave before you love me ayy ayy leave before you love me dancing on the edge take it too far messing with my head how i mess with your heart im sorry alone in the dark im sorry ayy ayy leave before you love me,1,1
bad b*tch,french montana,1gN1LGa4VgS4xoJjiMFC2W,2013,244,100,-9,Minor,4,9A,52,71,58,18,0,53,13,got a good thing goin with a bad bitch you know who to call when you need it wish i had another you im greedy sometimes like that nigga get greedy got damn i fell in love with a bad bitch you know that every time you leave me even though i know how men be talkin i just know that nigga wanna be me came in here and fell in love with a bad bitch back then she aint have shit now she grown up she got ass tits wanna know where she got that ass at she hit my heart a toot toot on it she got a dump truck i put a boot on it dont mind spendin this loot on it treat her like my whip i put some shoes on her cant be talking loud homie with your gshock laces jumping out the foreign with the t top coke boys niggas got the whole streets locked still eyes on the east side pinky ring may be running with the it may be something when you run into a mob boss on trial nigga blind in his left eye toc where the rouges wet up on the west side got to play the game of life like a chessboard rip your hair off fuck arrest warrant one call all the shooters on deck boy thought she peed on me pussy so wet boy fucking all night now we call it ross fit bag for the bitches boss hit marshawn lynch money on offense might catch me in the with a soft whip pull up with my niggas make a move red light green light no it aint gucci used to walk up in the store couldnt afford that now i walk up in the store buyin all that drink it to the head man nigga feelin woozy pull up in the old school boy im on some new shit red to the head man we gettin all that and shorty phone answers she dont ever call back and i can see why these niggas hate me pull up in a drop and the watch 80 pull up to the front but a nigga faded got a new crib and the shit gated came from the bottom watch a nigga ball out drink it to the head smoke til you fall out countin up this money nigga keep the door locked all my niggas gettin to this money no lie nice chick got cake call her sweet cheeks fuck good clean her house she a neat freak i want the 2016 that new prezi i want sloppy not a bitch thats too messy i done heard all the lies baby you can save me that but saying it was mine had to be my favorite all her friends like girl you getting thick dope boys on her like she getting bricks mami said lo dont cross her thing now she want the cartier bracelet and a ring stick up and it made me skeet skeet fast wasnt even row i had the skiski mask im a road runner had to beep beep past see me looking square itll be g class nigga ay my main focus is your main focus you hoes aint notice cause you aint focused,0,1
let my love open the door,luminate,2ZkjI8RyqFzSvl7xNY21JE,2012,198,126,-3,Major,0,8B,39,56,88,0,0,8,4,when people keep repeating that youll never fall in love when everybody keeps retreating you cant seem to get enough let my love open the door let my love open the door let my love open the door to your heart to your heart when everything feels all over and everybody seems unkind give me a four leaf clover take all the worries out of your mind let my love open the door let my love open the door let my love open the door to your heart let my love open the door to your heart let my love open the door let my love open the door to your heart let my love open the door i have the only key to your heart i can stop you from falling apart release yourself from misery only one things gonna set you free its my love let my love open the door let my love open the door let my love open the door when tragedy befalls you dont let em bring you down love can cure your problems youre lucky im around let my love open the door let my love open the door let my love open the door to your heart let my love open the door to your heart let my love open the door my love let my love open the door only my love let my love open the door go to your heart let my love open the door oh its my love let my love open the door its my love let my love open the door its my love let my love open the door im gonna im gonna get your love let my love open the door let my love open the door,0,0
westside (feat. snoop dogg),fetty wap,7fy2ZJGYU1ll1BiTLEMUzx,2016,212,96,-7,Minor,10,3A,57,72,53,6,0,6,4,1738 ayy yeah bae yeah baby i think i fell in love with the westside baby stop playin girl what it do baby i got time to screw with you baby i swear i might have seen her out my left eye baby girl they hatin you baby fore they even knew you baby i think i fell in love your bodys crazy yeah i know you wanna love your smiles amazing yeah i think i fell in love your bodys crazy yeah i know you wanna love your smiles amazing yeah hit my phone tell you what you like bae ayy and if its cool can i spend the night bae ayy kama sutra is that what you like bae every detail til i get it right bae act 10 down on mrs stuck bae ayy i beat the right beat it to the left bae ayy and when im done we should never leave baby and plenty girls who want that cake baby and damn right ima take a damn drink ayy and when you need the love who is there bae and you need somebody to lean on you dont wanna smoke green no cause im puttin my team on baby im the nigga you dream of go ahead get to dream on anything you can think of it appears baby king zoovie here baby i think i fell in love with the westside baby stop playin girl what it do baby i got time to screw with you baby i swear i might have seen her out my left eye nigga i saw what i seen what i saw lipstick thick hips baby was a boss dollars in my pocket i rolls for 11 godfather to this shit im russell simmons in it authentic money i spent it split it baby what a pimp clinic choose up or be chosen rise like yeast raised on the east best side of the west side of the coast getting setty fetty riding in the white ghost riding through hollywood dogg pound dick em down baby said the flavor good put it in her now she yellin neighborhood cuz you know how these hoes flip my nigga you know how these hoes get thats why i stay fly and keep a bad bitch from the westside left side i think i fell in love with the westside baby stop playin girl what it do baby i got time to screw with you baby i swear i might have seen her out my left eye baby girl they hatin you baby fore they even knew you baby i think i fell in love your bodys crazy yeah i know you wanna love your smiles amazing yeah i think i fell in love your bodys crazy yeah i know you wanna love your smiles amazing yeah your smiles amazing yeah your smiles amazing yeah,0,3
