name_lower,artist_lower,spt_id,release_year,length (total sec),tempo,loudness,scale,key (num),camelot,af_hap,af_dan,af_enr,af_aco,af_ins,af_liv,af_spe,lyric,is_bb
somethin' bad,miranda lambert & carrie underwood,6s9m5J92By7jii22Q2XtY2,2014,169,90,-5,Major,9,11B,48,68,89,5,0,6,6,"stand on the bar stomp your feet start clapping
got a real good feeling somethin bad about to happen
pulled up to the church but i got so nervous
had to back it on up couldnt make it to the service
grabbed all the cash underneath my mattress
got a real good feeling somethin bad about to happen
ran into a girl in a pretty white dress
rolled down a window
where you headed to next
said im heading to the bar with my money out of the mattress
got a real good feeling somethin bad about to happen
stand on the bar stomp your feet start clapping
got a real good feeling somethin bad about to happen
drinks keep coming throw my head back laughing
wake up in the morning dont know what happened
whoa somethin bad
whoa somethin bad
now me and that girl that i met on the street
were rollin down the road down to new orleans
got a full tank of gas and the money out of the mattress
got a real good feeling somethin bad about to happen
bout to tear it up down in new orleans
just like a reallife thelma and louise
if the cops catch up theyre gonna call it kidnapping
got a real good feelin somethin bad about to happen
stand on the bar stomp your feet start clapping
got a real good feeling somethin bad about to happen
drinks keep coming throw my head back laughing
wake up in the morning dont know what happened
whoa somethin bad
whoa somethin bad
stand on the bar stomp your feet start clapping
got a real good feeling somethin bad about to happen
drinks keep coming throw my head back laughing
wake up in the morning dont know what happened
yeah yeah yeah
whoa somethin bad
whoa somethin bad",1
drunk in love,beyoncé,6jG2YzhxptolDzLHTGLt7S,2014,323,140,-7,Minor,5,4A,40,58,62,1,0,18,5,"ive been drinkin ive been drinkin
i get filthy when that liquor get into me
ive been thinkin ive been thinkin
why cant i keep my fingers off it
baby i want you nana
why cant i keep my fingers off you
baby i want you nana
cigars on ice cigars on ice
feelin like an animal with these cameras all in my grill
flashin lights flashin lights
you got me faded faded faded
baby i want you nana
cant keep your eyes off my fatty
daddy i want you nana
drunk in love i want you ah
we woke up in the kitchen sayin how the hell did this shit happen oh baby
drunk in love we be all night
last thing i remember is our beautiful bodies grindin up in that club
drunk in love
we be all night
love love
we be all night
love love
we be all night and everything alright
no complaints from my body so fluorescent under these lights
boy im drinkin park it in my lot 711
im rubbin on it rubrubbin if you scared call that reverend
boy im drinkin get my brain right armand de brignac gangster wife
louis sheets he sweat it out like washrags he wet it up
boy im drinkin im singin on the mic to my boy toys
then i fill the tub up halfway then ride it with my surfboard
surfboard surfboard
grainin on that wood grainingrainin on that wood
im swervin on that swervinswervin on that
big body been servin all this swerve surfin all in this goodgood hahaha
we woke up in the kitchen sayin how the hell did this shit happen oh baby
drunk in love we be all night
last thing i remember is our beautiful bodies grindin up in that club
drunk in love
we be all night
love love
we be all night
love love im nice right now hold up
that dussé is the shit if i do say so myself
if i do say so myself if i do say so myself
hold up stumble all in the house time to back up all of that mouth
that you had all in the car talkin bout you the baddest bitch thus far
talkin bout you be reppin that third i wanna see all the shit that i heard
know i sling clint eastwood hope you can handle this curve uh
foreplay in a foyer fucked up my warhol
slid the panties right to the side aint got the time to take drawers off
on sight
catch a charge i might
beat the box up like mike in 97 i bite
im ike turner turn up baby no i dont play
now eat the cake anna mae said eat the cake anna mae
im nice
for yall to reach these heights
you gon need g3 4 5 6 flights
sleep tight
we sex again in the mornin
your breasteses is my breakfast we goin in
we be all night
love love
we be all night
love love
im never tired never tired
i been sippin thats the only thing thats keepin me on fire we on fire
didnt mean to spill that liquor all on my attire
ive been drinkin watermelon
i want your body right here
daddy i want you right now
cant keep your eyes off my fatty
daddy i want you
we be all night
love love
we be all night
love love",1
out of nowhere,canaan cox,5ioAkZbFf2puvleFPpBuIs,2018,215,146,-4,Major,0,8B,25,44,71,19,0,8,3,"ive been staying one step ahead of my shadow shadow
stickin to the shallow end
been here before id shut the door
but now its opened up again
out of nowhere here you are
punchin holes in the walls of my heart
out of nowhere nowhere
but i dont wanna go i dont wanna run
i just wanna let you drive me crazy
take me for a spin turn it up to ten
to the max i dont wanna go back there baby
i surrender cant resist
didnt see it coming but im glad you do
like a midnight star falling out of the air
out of nowhere out of nowherе
hmm out of nowhere
therеs a reason ive been so skeptical of a girl like you
but im on that road and im letting go of all my issues
but out of nowhere here i am
the whole world in the palm of your hand
out of nowhere
but i dont wanna go i dont wanna run
i just wanna let you drive me crazy
take me for a spin turn it up to ten
to the max i dont wanna go back there baby
i surrender i cant resist
didnt see it coming but im glad you do
like a midnight star falling out of the air
out of nowhere yeah
out of nowhere
i dont wanna go i dont wanna run
i dont wanna go i dont wanna run
i dont wanna go i dont wanna run
i dont wanna go i dont wanna run
i just wanna let you drive me crazy
take me for a spin turn it up to ten
to the max i dont wanna go back there baby
i surrender i cant resist
didnt see it coming but im glad you do
like a midnight star falling out of the air
like a midnight star falling out of the air
out of nowhere nowhere
hmm out of nowhere
out of nowhere",0
heart attack,demi lovato,1V6gIisPpYqgFeWbMLI0bA,2013,210,174,-5,Major,8,4B,50,50,79,7,0,24,10,"puttin my defenses up
cause i dont wanna fall in love
if i ever did that i think id have a heart attack
never put my love out on the line
never said yes to the right guy
never had trouble getting what i want
but when it comes to you im never good enough
when i dont care
i can play em like a ken doll
wont wash my hair
then make em bounce like a basketball
but you make me wanna act like a girl
paint my nails and wear high heels
yes you make me so nervous
that i just cant hold your hand
you make me glow
but i cover up wont let it show
so im puttin my defenses up up
cause i dont wanna fall in love love
if i ever did that i think id have a heart attack
i think id have a heart attack
i think id have a heart attack
never break a sweat for the other guys
when you come around i get paralyzed
and every time i try to be myself
it comes out wrong like a cry for help
its just not fair
pains more trouble than love is worth
i gasp for air
it feels so good but you know it hurts
but you make me wanna act like a girl
paint my nails and wear perfume
for you make me so nervous
that i just cant hold your hand
you make me glow
but i cover up wont let it show
so im puttin my defenses up up
cause i dont wanna fall in love love
if i ever did that i think id have a heart attack
i think id have a heart attack
i think id have a heart attack
the feelings got lost in my lungs
theyre burning id rather be numb id rather be numb
and theres no one else to blame no one else to blame
so scared i take off and i run
im flyin too close to the sun
and i burst into flames flames flames
you make me glow
but i cover up wont let it show
so im puttin my defenses up up
cause i dont wanna fall in love love
if i ever did that i think id have a heart attack yeah
i think id have a heart attack heart attack
i think id have a heart attacktack oh i think id have a heart attack
i think id have a heart attack
i think id have a heart attack",1
nothing ever changes,nico collins,04HywTwgGtbATUROKD5Ata,2018,204,92,-4,Minor,9,8A,53,59,87,18,0,12,7,"i woke up in a modern world
and theres nothing i can do
while i read the latest from the breaking
story on the news
and people swear they say its fake
and look up to our leader
as he speaks from a mind so bleak
he preys on his believers
everyones bitter pointing their fingers
seeing the worst in each other
but people are not their skin or their god
or who they claim their lover
i think that people are made so unequal
some are born good and some evil
and so here i pray for one single day
that we can live here peaceful
the world is falling down
and nothing ever changes
one two three as the shots ring out
but nothing ever changes
the world is falling down
and nothing ever changes
were all part of a silent crowd
cause nothing ever changes
twelve more killed at a local bar
some were only twentyone
but the nra has bills to pay
and feeds us with more guns
so we send our thoughts and prayers
to those who lost their lives
but the cycle stays and in a couple of days
bullets fly and a few more die
im not a scholar im not an expert
but if you fight fire with fire
im pretty sure it only gets worse
the flames burn even brighter
i know that im not alone
when i say im sick of the violence
voice our anger on our phones
but in real life were quiet shhh
the world is falling down
and nothing ever changes
one two three as the shots ring out
but nothing ever changes
the world is falling down
and nothing ever changes
were all part of a silent crowd
cause nothing ever changes
i hope that when i fast forward
twentysomething years
we no longer live our days
in hatred or in fear
and live to be kind and free
to do unto each other
as youd have em do unto you
united undercover
the world is falling down
and nothing ever changes
one two three as the shots ring out
but nothing ever changes
the world is falling down
and nothing ever changes
were all part of a silent crowd
cause nothing ever changes
the world is falling down
nothing ever changes
the world is falling down now
nothing ever changes
the world is falling down
nothing ever changes
the world is falling down now
cause nothing ever changes",0
get your shine on,florida georgia line,6s9ICeczYOfbHHIaSMq9jd,2012,222,97,-5,Major,0,8B,61,50,93,0,0,41,4,"strawberry shimmer on hot lips
silver buckle hangin off her hips
eyes sparkle when she smiles
shinedown on the radio dial
homemade jar of lemon drop take a sip
dont stop girl you know i love it when you
get your shine on
cause you and me be rockin all night long
summer sky drippin rhinestones
turn your party lights on
baby get your shine on shine on
baby get your shine on
silverado candy painted
raybans got the whole world shaded
chrome piece tucked in the console
ridin high roll up on the down low
feelin lucky got hooked up with some kentucky clear
so slide that little sugar shaker over here
and get your shine on
cause you and me be rockin all night long
summer sky drippin rhinestones
turn your party lights on
baby get your shine on shine on
baby get your shine on
homemade jar of lemon drop take a sip
dont stop girl
you know i love it when you get your shine on
cause you and me be rockin all night long
summer sky drippin rhinestones
turn your party lights on
baby get your shine on shine on
baby get your shine on
cause you and me be rockin all night long
summer sky drippin rhinestones
turn your party lights on
baby get your shine on shine on
baby get your shine on
baby get your shine on
strawberry shimmer on hot lips
silver buckle hangin off her hips
eyes sparkle when she smiles
shinedown on the radio dial
silverado candy painted
raybans got the whole world shaded
chromed piece tucked in the console
riding high roll up on the down low
baby get your shine on",1
rain on me,lady gaga & ariana grande,7ju97lgwC2rKQ6wwsf9no9,2020,182,123,-4,Major,9,11B,65,67,86,2,0,32,4,"i didnt ask for a free ride
i only asked you to show me a real good time
i never asked for the rainfall
at least i showed up you showed me nothing at all
its coming down on me
water like misery
its coming down on me
im ready rain on me
id rather be dry but at least im alive
rain on me rain rain
rain on me rain rain
id rather be dry but at least im alive
rain on me rain rain
rain on me rain rain
la la la la la rain rain
la la la la la rain rain
la la la la la la la rain rain
rain on me oh yeah
rain on me
rain on me
living in a world where no ones innocent
oh but at least we try
gotta live my truth not keep it bottled in
so i dont lose my mind
baby yeah
i can feel it on my skin
its coming down on me
teardrops on my face
water like misery
let it wash away my sins
its coming down on me
let it wash away
id rather be dry but at least im alive
rain on me rain rain
rain on me rain rain
id rather be dry but at least im alive
rain on me rain rain
rain on me rain rain
la la la la la rain rain
la la la la la rain rain
la la la la la la la rain rain
rain on me oh yeah
la la la la la la
rain on me oh yeah
la la la la la la la
rain on me oh yeah",1
"milwaukee, here i come",porter wagoner,7AaF6tFXgW779oBVBsyjw2,2015,134,109,-11,Major,0,8B,96,70,73,49,0,2,3,"im a gonna get on that old turnpike and im gonna ride
im a gonna leave this town til you decide
which one you want the most them opry stars or me
milwaukee here i come from nashville tennessee
milwaukee is a where we were before we came here
workin in a brewery making the finest beer
you came to me on a payday night said lets go to tennessee
so we came down to nashville to the grand ole opry
we were watching tv porter wagoner was singin loud
i said thats the man for me i love him theres no doubt
im leavin now see if i can find out where hes at
and if i cant get him ill settle for that bluegrass lester flatt
oh im a gonna get on that old turnpike and im gonna ride
im a gonna leave this town til you decide
which one you want the most me or wilma lee
milwaukee here i come from nashville tennessee
im a goin now and trade my ol ford for an olds
honey i might get all drunked up and trade it for a rolls
but theres one thing i know for sure ill always be blue
there aint no way to get drunk enough to stop lovin you
so im a gonna get on that old turnpike and im gonna ride
im a gonna leave this town til you decide
which one you want the most me or jerry reed
milwaukee here i come from nashville tennessee",0
zeze,kodak black,0FZ4Dmg8jJJAPJnvBIzD9z,2018,228,98,-6,Minor,8,1A,50,86,60,5,0,9,18,"da got that dope
ice water turned atlantic freeze
nightcrawlin in the phantom skrrt skrrt
told them hoes that dont you panic
took an island yeah flood the mansion big water
dropped the roof more expansion
drive a coupe you can stand in its lit
see the bitches undercover in the sheets
im an ass and titty lover big ass
guess we all made for each other
now that all the dawgs free yeah yeah
and we out in these streets alright
can you do it can you pop it for me
pull up in a demon on god on god
lookin like i still do fraud fraud
flyin private jet with the rod rod
this that z shit this that z shit this that z shit
pull up in a demon on god on god
lookin like i still do fraud fraud
flyin private jet with the rod rod
this that z shit this that z shit this that z shit
offset
blow the brains out the coupe boom
police wanna talk but im on mute woowoo hey
ima bust her wrist down cause she cute ice ice
fuck her on a yacht dive in a pool yeah
she an addict addict addict for the lifestyle and the patek patek
big daddy have you ever felt chanel fabrics chanel
i be drippin to death i need a casket drippin
and we got more stripes than the ref he foul tec him bow stripes
in the middle of the field like david beckham field bowbow
all my niggas locked up for real im tryna help em free free
when i got a mil got me the chills dont know what happened hoo chills
pop pills do what you feel im on that zombie hey hoo
im more like gaddafi im not no gandhi gaddafi hey
im more like im david goliath runnin hey hey
niggas be clonin i find it funny clone haha
we from the nawf straight out of the dungeon we from the nawf hey
i go in her mouth she cant tell me nothin eghck eghck egchk
300 the watch is out of your budget woo woo 300
meanmuggin got me clutchin
yeah and this stick right out of russia
ice water turned atlantic freeze
nightcrawlin in the phantom skrrt skrrt
told them hoes that dont you panic
took an island yeah flood the mansion big water
dropped the roof more expansion
drive a coupe you can stand in its lit
bitches undercover in the sheets
im an ass and titty lover big ass
guess we all made for each other
now that all the dawgs free yeah yeah
and we out in these streets alright
can you do it can you pop it for me
pull up in a demon on god on god
lookin like i still do fraud fraud
flyin private jet with the rod rod
this that z shit this that z shit this that z shit
pull up in a demon on god on god
lookin like i still do fraud fraud
flyin private jet with the rod rod
this that z shit this that z shit this that z shit
in a hellcat cause im a hellraiser
selfmade i dont owe a nigga nann favor
when you get that money nigga keep your heart
im slidin in a coupe aint got no key to start
i got the fire on me in bet awards
when your well run dry you know you need me for it
when i pull up in the buick you know what im doin
if the police get behind me im fleein and eludin
sleepin on the palette turned me to a savage
im a project baby now i stay in calabasas
like i still serve fiends like im still jackin
i be sippin on lean tryna keep balance
hit that zwalk dickies with my reeboks
i dont say much i just let the heat talk
your jewelry water whip diamonds like rerock
my lil baby ride the dick like a seesaw
when i stepped up on the scene i was on a bean
when i jumped up out the beam i was in celine
baby girl you just a fling that aint what i mean
money bustin out my jeans like i do the scheme
pull up in a demon on god on god
lookin like i still do fraud fraud
flyin private jet with the rod rod
this that z shit this that z shit this that z shit
pull up in a demon on god on god
lookin like i still do fraud fraud
flyin private jet with the rod rod
this that z shit this that z shit this that z shit
uhhuh ha ohahoh
uhhuh ha ohahoh
uhhuh ha ohahoh
uhhuh ha ohahoh",1
sweater weather,the neighbourhood,2QjOHCTQ1Jl3zawyYOpxh6,2013,240,124,-3,Major,10,6B,40,61,81,5,2,10,3,"and all i am is a man
i want the world in my hands
i hate the beach but i stand
in california with my toes in the sand
use the sleeves of my sweater lets have an adventure
head in the clouds but my gravitys centered
touch my neck and ill touch yours
you in those little highwaisted shorts oh
she knows what i think about
and what i think about
one love two mouths
one love one house
no shirt no blouse
just us you find out
nothing that i wouldnt wanna tell you about no
cause its too cold for you here and now
so let me hold both your hands in the holes of my sweater
and if i may just take your breath away
i dont mind if theres not much to say
sometimes the silence guides a mind
to move to a place so far away
the goosebumps start to raise
the minute that my left hand meets your waist
and then i watch your face
put my finger on your tongue cause you love the taste yeah
these hearts adore
everyone the other beats hardest for
inside this place is warm
outside it starts to pour
comin down
one love two mouths
one love one house
no shirt no blouse
just us you find out
nothin that i wouldnt wanna tell you about
no no no
cause its too cold for you here and now
so let me hold both your hands in the holes of my sweater
cause its too cold for you here and now
so let me hold both your hands in the holes of my sweater
woah
woah woah woah
woah woah woah woah
woah woah
woah woah woah woah
woah woah
cause its too cold for you here and now
so let me hold both your hands in the holes of my sweater
cause its too cold for you here and now
let me hold both your hands in the holes of my sweater
and its too cold its too cold
the holes of my sweater",1
house party,sam hunt,1TwLKNsCnhi1HxbIi4bAW0,2014,190,104,-5,Major,8,4B,86,75,86,11,0,3,5,"youre on the couch blowin up my phone
you dont wanna come out but you dont wanna be alone
it dont take but two to have a little soiree
if youre in the mood sit tight right where you are babe
cause ill be at your door in ten minutes
whatever you got on girl stay in it
you aint gotta leave the house to have a good time
ima bring the good time home to you
well have a house party we dont need nobody
turn your tv off break that boombox out
well wake up all the neighbors til the whole block hates us
and the cops show up and try to shut us down
if youre gonna be a homebody
were gonna have a house party
if you wanna be a homebody
were gonna have a house party
throw a neon tshirt over the lamp shade
ill take the furniture slide it out of the way
shakin the floor rattlin the roof
well go to town right there in your living room
lets have a house party we dont need nobody
turn your tv off break that boombox out
well wake up all the neighbors til the whole block hates us
and the cops will show up and try to shut us down
if youre gonna be a homebody
were gonna have a house party
if you wanna be a homebody
were gonna have a house party
so ill be at your door in ten minutes
whatever you got on baby stay in it
you aint gotta leave the house to have a good time
ima bring the good time home to you
well have a house party we dont need nobody
turn your tv off break that boombox out
well wake up all the neighbors til the whole block hates us
and the cops will show up and try to shut us down
if youre gonna be a homebody
were gonna have a house party
if you wanna be a homebody
were gonna have a house party",1
in the night,the weeknd,25KybV9BOUlvcnv7nN3Pyo,2015,235,168,-5,Major,7,9B,54,51,68,8,0,5,7,"all alone she was livin
in a world without an end or beginnin
baby girl was livin life for the feelin
but i dont mind i dont mind oh
and all the wrongs she committed
she was numb and she was so codependent
she was young and all she had was the city
but i dont mind i dont mind
and i know know
that shes capable of anything its riveting
but when when
you wake up shes always gone gone gone oh
in the night she hears him calling
in the night shes dancin to relieve the pain
shell never walk away
i dont think you understand
in the night when she comes crawlin
dollar bills and tears keep fallin down her face
shell never walk away
i dont think you understand
he sang a song when he did it
he was cold and he was so unforgiving
now she dances to the song on the minute
yeah all the time all the time all the time all the time oh
it make her weak when she hear it
and it got her on her knees like religion
she was young and she was forced to be a woman
yeah all the time all the time all the time all the time
and i know know
that shes capable of anything its riveting
but when when
you wake up shes always gone gone gone oh
in the night she hears him calling
in the night shes dancin to relieve the pain
shell never walk away
i dont think you understand
in the night when she comes crawlin yeah
dollar bills and tears keep fallin down her face fallin down her face
shell never walk away
i dont think you understand
oh baby
i dont think you understand woo
i dont think you understand ohh
i dont think you understand
oh no no no
i dont think you understand hey
in the night she hears him calling yeah
in the night shes dancin to relieve the pain to relieve the pain
shell never walk away nonononono
i dont think you understand hey
in the night when she comes crawlin ooh
dollar bills and tears keep fallin down her face its fallin down her face
shell never walk away
i dont think you understand",1
big bank,yg,0ZNrc4kNeQYD9koZ3KvCsy,2018,237,204,-8,Major,1,3B,11,75,35,1,0,9,33,"my bitch drive an allwhite range
couldnt hit it if you niggas had aim
lames cant call and you a lame
you had it then you lost it hall of shame
i can buy a bentley dont talk to me
for a show 150 dont talk to me
you aint never helped your mans dont talk to me
you just follow all the trends dont talk to me
ayy i set the bar im the fuckin bar
look in the sky im a fuckin star
i dont fall in love cause i be lovin hard
do everything like my shirt extra large
i dont care ill crash a ghost
got two cribs in two states i be doing the most
i got whitefolks money that i wont blow
and if you ask why cause the white folks dont
big bank take lil bank bank
big bank take lil bank bank
type of money you gon need a safe
type of money you gon need a bank
from the hood its type of money make you stay awake
type of money she gon let you put it in her face
big bank take lil bank bank yahhhhh
big bank take lil bank bank
everything proper no propaganda
tropicana goyard bandana
big sack a lotta hoes like santa
threw a birthday party in a phantom
big shit like a dinosaur did it
and you know tity shinin like acrylic
yeah i sold dope and had cornrows
i can you see niggas hatin with the door closed
now im lookin for a glove with the sparkle on it
and my cbd got chocolate on it
big bank take smallass shit
bank account on some tallass shit
attitude on some fuck you too
bankroll on what it do boo
meet me at the room lets vibe
and if i aint did it yet ill try
big bank take lil bank bank
big bank take lil bank bank
type of money you gon need a safe
type of money you gon need a bank
from the hood its type of money make you stay awake
type of money she gon let you put it in her face
big bank take lil bank bank
big bank take lil bank bank
she said whatchu gon do if i leave
i said bitch ima do me
big bitch everything zoomed in zoom
big bag on me lookin like im movin in god
got my foot in the door and we still here here
im a first generation millionaire here
i broke the curse in my family not having shit
im passionate like girls thats after more than just cash and dick
feed me to the wolves now i lead the pack and shit
you boys all cap im more colin kaepernick
im rare as affordable health care oh god
or going to wealth from welfare goddamn
i turn my ws to ms yeah i flip those
i might buy her red bottoms with the crypto
three coins thatll pay ya whole semester swerve swerve
but you gotta ride it better than a tesla
big bank take lil bank bank lil bitch
big bank take lil bank bank
type of money you gon need a safe
type of money you gon need a bank
from the hood its type of money make you stay awake
type of money she gon let you put it in her face
big bank take lil bank bank
big bank take lil bank bank
uh oh back again
back to back maybach stack the ms
told em i met slim shady bagged a em
once he go black hell be back again
tell them hoes that its crunch time abdomen
yes i cop mad chanel and mad given
she did it again imagine them
bout to make these bum bitches mad again
uh oh back to them
i lead the pack so my backs to them
yup the queens back whats happenin
rerun bout to make these bitches rap again
uh diamond chains on my ankle
young money in the cut like a shank though
tell tip rubber bands in my bankroll
mm show my ass like a stank ho
big bank take lil bank
big bank take lil bank
type of money you gon need a safe
type of money you gon need a bank
from the hood its type of money make you stay awake
type of money she gon let you put it in her face
big bank take lil bank bank
big bank take lil bank bank",1
world below,the horrors,5BxPJHZF1hm9O56GhBjeO3,2017,200,101,-8,Minor,10,3A,35,52,76,0,62,14,3,"my dreams are all i can give you
no second chances now
theres only one way of knowing
its just a moment
hold on one day old
twisting your way through the clouds
hold on morning comes
braiding these flames on the earth
looking down at the world below
looking out of your cold window
twisting over restless in your bed
looking down at the world below
the life beyond the open window twisting over
bright lights overhead
always all times
the white noise never ends
oh now all times
bright lights overhead
i ive got no way of knowing how these days will run
ive got no way of trusting these dreams that grow out of my reach
looking down at the ghosts below
looking down through the closed window
rolling oceans over in your bed
looking down on the world below
your life delayed your days are slow
twisting over bright lights overhead
bright lights overhead
always all times
the white noise never ends
oh now all times
bright lights overhead
bright lights overhead
bright lights overhead
bright lights overhead",0
shape of you,ed sheeran,7qiZfU4dY1lWllzX7mPBI3,2017,233,96,-3,Minor,1,12A,93,83,65,58,0,9,8,"a club isnt the best place to find a lover
so the bar is where i go mm
me and my friends at the table doin shots
drinkin fast and then we talk slow mm
and you come over and start up a conversation with just me
and trust me ill give it a chance now mm
take my hand stop put van the man on the jukebox
and then we start to dance and now im singin like
girl you know i want your love
your love was handmade for somebody like me
well come on now follow my lead
i may be crazy dont mind me
say boy lets not talk too much
grab on my waist and put that body on me
well come on now follow my lead
come come on now follow my lead mm
im in love with the shape of you
we push and pull like a magnet do
although my heart is fallin too
im in love with your body
and last night you were in my room
and now my bed sheets smell like you
every day discoverin somethin brand new
well im in love with your body
oh i oh i oh i oh i
well im in love with your body
oh i oh i oh i oh i
well im in love with your body
oh i oh i oh i oh i
well im in love with your body
every day discoverin somethin brand new
im in love with the shape of you
one week in we let the story begin
were goin out on our first date mm
you and me are thrifty so go allyoucaneat
fill up your bag and i fill up a plate mm
we talk for hours and hours about the sweet and the sour
and how your family is doin okay mm
and leave and get in a taxi and kiss in the back seat
tell the driver make the radio play and im singin like
girl you know i want your love
your love was handmade for somebody like me
well come on now follow my lead
i may be crazy dont mind me
say boy lets not talk too much
grab on my waist and put that body on me
well come on now follow my lead
come come on now follow my lead mm
im in love with the shape of you
we push and pull like a magnet do
although my heart is fallin too
im in love with your body
and last night you were in my room
and now my bed sheets smell like you
every day discoverin somethin brand new
well im in love with your body
oh i oh i oh i oh i
well im in love with your body
oh i oh i oh i oh i
well im in love with your body
oh i oh i oh i oh i
well im in love with your body
every day discoverin somethin brand new
im in love with the shape of you
come on be my baby come on
come on be my baby come on
come on be my baby come on
come on be my baby come on
come on be my baby come on
come on be my baby come on
come on be my baby come on
come on be my baby come on
im in love with the shape of you
we push and pull like a magnet do
although my heart is fallin too
im in love with your body
and last night you were in my room
and now my bed sheets smell like you
every day discoverin somethin brand new
well im in love with your body
come on be my baby come on
come on be my baby come on
im in love with your body
come on be my baby come on
come on be my baby come on
im in love with your body
come on be my baby come on
come on be my baby come on
im in love with your body
every day discoverin somethin brand new
im in love with the shape of you",1
#beautiful,mariah carey,1ahAuX3F6tDdNRfMdiLsv6,2014,199,107,-5,Major,4,12B,43,68,76,32,0,30,4,"ah ah youre beautiful yeah
oh ah ah youre beautiful
hop on the back of my bike
let the good wind blow through your hair
with an ass like that and a smile so bright
oh youre killin me you know it aint fair yeah
ride on through the middle of the night
let the moonlight kiss your skin
when you dance like that your jeans so tight
oh youre killin me baby do it again yeah
youre beautiful
and your mind is fuckin beautiful
and i cant pretend
that doesnt mean a thing to me to me yeah
youre beautiful
good lord youre fuckin beautiful
and i cant pretend
that doesnt mean a thing to me to me yeah yeah
i like when you run red lights
dont stop til you thrill me oh how you thrill me
always in control how you do it i dont know
but i dont care take me anywhere
cause its beautiful
oh you make me feel undressable
and i cant pretend
that doesnt mean a thing to me to me oh yeah
youre beautiful
and your mind is fuckin beautiful
and i cant pretend
that doesnt mean a thing to me to me yes
youre beautiful
good lord youre fuckin beautiful so beautiful
and i cant pretend
that doesnt mean a thing to me to me yeah yeah
ah ah youre beautiful
ah ah youre beautiful
you dont know what youre doin darlin
ah ah youre beautiful
hop on back my bike darlin
ohoh ill take you
ah ah youre beautiful
dont you worry darlin
ah ah youre beautiful",1
ferrari - oliver heldens remix,james hype,0oCNRAmwLo4zHDpCKpjQtI,2022,188,125,-6,Minor,1,12A,69,73,90,1,25,10,4,"can i be honest
i still want your hands up on my body
you still make my heart beat fast ferrari
with me in the wave but in the mornin
do you still want me
can i be honest
i still want your hands up on my body
you still make my heart beat fast ferrari
with me in the wave but in the mornin
do you still want me
do you still want me
can i be honest
do you still want me
want me
can i be honest
i still want your hands up on my body
you still make my heart beat fast ferrari
with me in the wave but in the mornin
do you still want me
can i be honest
i still want your hands up on my body
you still make my heart beat fast ferrari
with me in the wave but in the mornin
do you still want me
do you still want me
can i be honest
can i be honest
i still want your hands up on my body
you still make my heart beat fast ferrari
with me in the wave but in the mornin
do you still want me",0
say it - illenium remix,flume,1wfZdPy5FRWsdWaAEOG0Ml,2017,267,150,-4,Major,6,2B,43,48,77,3,0,10,5,"feelin the song party done shadows walkin home
walkin with our game on
you are my kind classic mind and you look so fine mmm
lovin the cold smoke a roll see your fingers shake
im gettin through your heart break
some kinda freak sing for me dont know what i need mmm
dont doubt me babe you make me wanna change
break my bed to make me wanna stay i cant
bite me babe you make me love the pain
break my bed to make me wanna stay i cant
when you say it like that oh oh oh oh
got me fallin right back oh oh oh oh mmm
when you say it like that oh oh oh oh
let me fuck you right back oh oh oh oh
got me fallin right back
oh oh oh oh
oh oh oh oh when you say it say it
oh oh oh oh
oh oh oh oh
got me fallin right back
oh oh oh oh
oh oh oh oh when you say it say it
oh oh oh oh mmm
im gettin the door silent walk whos the first to speak
speak it like a real freak
voice in my head in my bed filled with you instead mmm
takin your time work my mind and i play with you
i play pretend its so true
follow me down listen round to the deep dark sound mmm
dont doubt me babe you make me wanna change
break my bed to make me wanna stay i cant mmm
bite me babe you make me love the pain
break my bed to make me wanna stay i cant
when you say it like that oh oh oh oh
got me fallin right back oh oh oh oh mmm
when you say it like that oh oh oh oh
let me fuck you right back oh oh oh oh
let me fuck you right back
oh oh oh oh
oh oh oh oh when you say it say it
oh oh oh oh
oh oh oh oh
let me fuck you right back
oh oh oh oh
oh oh oh oh when you say it say it
oh oh oh oh mmm
when you say it like that oh oh oh oh
oh oh oh oh when you say it say it
got me fallin right back oh oh oh oh
let me fuck you right back
when you say it like that oh oh oh oh
oh oh oh oh when you say it say it
let me fuck you right back oh oh oh oh mmm",0
key largo,arbes,5fC5FVZx30t7ZMGdcdyigc,2015,218,122,-10,Major,6,2B,47,36,66,40,92,13,4,"wasted
why you wasting it
sulphate
soul cant breathe straight
sold and loaded
with arms spread stolen
in a forward motion
well dissolve slower
wavering
for your warmth its worth amber and gold
palms already worn",0
